order,original_index,x,y,dx,dy,slope,angle_deg,radius
285,285,10866.8,4316.6,3110.262427,-1841.965641,-0.592221938,329.365052,3614.771056
286,286,10868.5,4326.4,3111.962427,-1832.165641,-0.588749281,329.512581,3611.25201
287,287,10870.2,4336.3,3113.662427,-1822.265641,-0.5852483,329.661768,3607.706442
288,288,10871.9,4346.2,3115.362427,-1812.365641,-0.581751139,329.811247,3604.185382
289,289,10873.5,4356.0,3116.962427,-1802.565641,-0.578308428,329.958843,3600.652394
290,290,10875.2,4365.9,3118.662427,-1792.665641,-0.574818751,330.108903,3597.180206
291,291,10876.8,4375.7,3120.262427,-1782.865641,-0.571383235,330.257077,3593.695522
292,292,10878.4,4385.6,3121.862427,-1772.965641,-0.567919209,330.406925,3590.185535
293,293,10880.0,4395.5,3123.462427,-1763.065641,-0.564458732,330.557065,3586.700153
294,294,10881.6,4405.4,3125.062427,-1753.165641,-0.561001798,330.707497,3583.239447
295,295,10883.2,4415.2,3126.662427,-1743.365641,-0.557580385,330.85682,3579.852188
296,296,10884.9,4425.1,3128.362427,-1733.465641,-0.554112793,331.008603,3576.528289
297,297,10886.5,4435.0,3129.962427,-1723.565641,-0.550666559,331.159893,3573.141938
298,298,10888.2,4444.8,3131.662427,-1713.765641,-0.547238306,331.310832,3569.916277
299,299,10889.8,4454.7,3133.262427,-1703.865641,-0.543799213,331.462687,3566.579812
300,300,10891.5,4464.5,3134.962427,-1694.065641,-0.540378292,331.614175,3563.403964
301,301,10893.3,4474.4,3136.762427,-1684.165641,-0.536912081,331.768112,3560.293868
302,302,10895.0,4484.2,3138.462427,-1674.365641,-0.533498705,331.920137,3557.168355
303,303,10896.6,4494.1,3140.062427,-1664.465641,-0.53007406,332.073098,3553.932739
304,304,10898.3,4504.0,3141.762427,-1654.565641,-0.526636141,332.227088,3550.810979
305,305,10899.9,4513.8,3143.362427,-1644.765641,-0.523250398,332.379169,3547.672668
306,306,10901.6,4523.7,3145.062427,-1634.865641,-0.519819774,332.533697,3544.601999
307,307,10903.2,4533.6,3146.662427,-1624.965641,-0.516409268,332.68775,3541.468306
